Body_Type,Kilometers_Driven,Owner_Count,oem,model,modelYear,price,Fuel_Type,Transmission,Engine_CC,Length_mm,Height_mm,Wheel_Base_mm,Kerb_weight_kg,Tyre_Type,Mileage_Kmpl,Max_Power_BHP,Torque_Nm,Seats,Wheel_size,City
Sedan,30000,1,Toyota,Toyota Yaris,2018,750000.0,Petrol,Manual,1496.0,4425.0,1495.0,2550.0,1095.0,TubelessRadial,17.1,105.5,140.0,5.0,15.697549201633866,Bangalore
Hatchback,64374,1,Honda,Honda Jazz,2018,755000.0,Petrol,Automatic,1199.0,3955.0,1544.0,2530.0,1066.0,TubelessRadial,19.0,88.7,110.0,5.0,15.0,Bangalore
SUV,30000,1,MG,MG Hector,2021,1750000.0,Diesel,Manual,1956.0,4655.0,1760.0,2750.0,1525.0,Radial,17.41,167.68,350.0,5.0,17.0,Bangalore
SUV,7100,1,Hyundai,Hyundai Alcazar,2022,2082999.9999999998,Petrol,Automatic,1999.0,4500.0,1675.0,2760.0,1730.0,TubelessRadial,14.2,156.9,191.0,6.0,18.0,Bangalore
Hatchback,43679,1,Hyundai,Hyundai i10,2010,271000.0,Petrol,Manual,1086.0,3585.0,1550.0,2380.0,900.0,TubelessRadial,19.81,68.05,99.04,5.0,13.0,Bangalore
SUV,40000,1,Hyundai,Hyundai Creta,2018,1280000.0,Petrol,Automatic,1591.0,4270.0,1665.0,2590.0,1300.0,Tubeless,14.8,121.3,151.0,5.0,17.0,Bangalore
Hatchback,40562,1,Hyundai,Hyundai i20,2012,436000.00000000006,Diesel,Manual,1396.0,3995.0,1505.0,2525.0,1120.0,TubelessRadial,22.54,88.76,219.6,5.0,14.0,Bangalore
SUV,26500,2,Hyundai,Hyundai Creta,2021,1675000.0,Petrol,Automatic,1397.0,4300.0,1635.0,2610.0,1465.0,TubelessRadial,18.9,138.12,242.0,5.0,17.0,Bangalore
SUV,20000,1,Hyundai,Hyundai Venue,2019,1250000.0,Petrol,Automatic,998.0,3995.0,1605.0,2500.0,1440.0,Radial,18.15,118.35,171.6,5.0,16.0,Bangalore
SUV,58600,1,Mahindra,Mahindra XUV500,2016,1350000.0,Diesel,Automatic,2179.0,4585.0,1785.0,2700.0,2020.0,Tubeless,16.0,140.0,330.0,7.0,17.0,Bangalore
SUV,42050,1,Volkswagen,Volkswagen T-Roc,2020,2225000.0,Petrol,Automatic,1498.0,4234.0,1573.0,2590.0,1350.0,TubelessRadial,18.4,147.94,250.0,5.0,17.0,Bangalore
Hatchback,65017,1,Maruti,Maruti Celerio,2015,475000.0,Petrol,Automatic,998.0,3715.0,1565.0,2425.0,840.0,TubelessRadial,23.1,67.04,90.0,5.0,15.697549201633866,Bangalore
Sedan,80000,2,BMW,BMW 3 Series,2008,600000.0,Diesel,Automatic,1995.0,4531.0,1421.0,2760.0,1445.0,TubelessRadial,13.2,170.0,34.7,5.0,16.0,Bangalore
SUV,30000,1,Jeep,Jeep Compass,2021,2450000.0,Petrol,Automatic,1368.0,4405.0,1640.0,2636.0,1580.0,TubelessRadial,14.1,160.77,250.0,5.0,18.0,Bangalore
SUV,20000,1,Kia,Kia Seltos,2020,1625000.0,Petrol,Automatic,1353.0,4315.0,1645.0,2610.0,1535.0,TubelessRadial,16.5,138.08,242.0,5.0,17.0,Bangalore
Sedan,36349,1,Skoda,Skoda Superb,2014,1650000.0,Diesel,Automatic,1968.0,4838.0,1482.0,2761.0,1608.0,TubelessRadial,17.2,138.1,320.0,5.0,16.0,Bangalore
Hatchback,80000,3,Hyundai,Hyundai i10,2009,249000.00000000003,Petrol,Manual,1197.0,3585.0,1550.0,2380.0,960.0,TubelessRadial,20.36,78.9,111.8,5.0,13.0,Bangalore
SUV,83394,2,Renault,Renault Duster,2014,630000.0,Petrol,Manual,1598.0,4315.0,1695.0,2673.0,1100.0,TubelessRadial,13.24,102.57,145.0,5.0,16.0,Bangalore
SUV,30000,2,Audi,Audi Q5,2016,2599000.0,Diesel,Automatic,1968.0,4629.0,1655.0,2807.0,1830.0,TubelessRadial,14.16,174.3,380.0,5.0,17.0,Bangalore
Hatchback,52204,1,Maruti,Maruti Alto K10,2017,385000.0,Petrol,Manual,998.0,3530.0,1520.0,2380.0,755.0,TubelessRadial,24.39,65.71,89.0,5.0,15.697549201633866,Bangalore
Hatchback,110000,3,Hyundai,Hyundai i20,2012,300000.0,Petrol,Manual,1197.0,3940.0,1505.0,2525.0,1020.0,TubelessRadial,17.0,805200.0,11.44,5.0,14.0,Bangalore
SUV,89000,1,Ford,Ford Endeavour,2017,2975000.0,Diesel,Automatic,3198.0,4892.0,1837.0,2850.0,1879.0,TubelessRadial,10.91,197.0,470.0,7.0,18.0,Bangalore
Hatchback,29813,2,Maruti,Maruti Alto 800,2014,276000.0,Petrol,Manual,796.0,3445.0,1475.0,2360.0,762.0,Tubeless,22.05,47.33,69.0,5.0,15.697549201633866,Bangalore
Hatchback,30000,1,Ford,Ford Figo,2018,500000.0,Petrol,Manual,1196.0,3886.0,1525.0,2491.0,10401130.0,Tubeless,18.16,86.8,112.0,5.0,14.0,Bangalore
Hatchback,13345,1,Maruti,Maruti Ignis,2020,730000.0,Petrol,Automatic,1197.0,3700.0,1595.0,2435.0,855.0,TubelessRadial,20.89,81.8,113.0,5.0,15.0,Bangalore
SUV,17100,1,Hyundai,Hyundai Alcazar,2022,2245000.0,Diesel,Automatic,1498.0,4500.0,1675.0,2760.0,1670.0,TubelessRadial,18.1,113.42,250.0,7.0,18.0,Bangalore
